slug	url	raw_html_sha256	text_sha256	words	src_path
ch-22-conglomerate-crossholdings	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-22-conglomerate-crossholdings.html	aafa03e59839856aeb52e0f9e95b379786fc0df520082da9858b436fe0ac1d79	d4e125203b5105c4ca70a693d79fe07b216896e44303b67f03306a376532c373	4087	/home/user/canon-corpus-src/investors-canon/chapters/ch-22-conglomerate-crossholdings.html
ch-23-governance-scoring	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-23-governance-scoring.html	5f74fa071de1ec37591a379a413ae3f30c93586d4007a54d7512d0f01d5782d3	1fcc44eda3251a0f8678a7b34e628450f842438022ee128f57b3106c18959787	4229	/home/user/canon-corpus-src/investors-canon/chapters/ch-23-governance-scoring.html
ch-24-reading-financial-statements	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-24-reading-financial-statements.html	1ae36dfb70b8c0c3fcbe53770aefb51899ae065860766a8c43803937cd8da512	e692aedda9e9ffbde2fea7c12cad4e57a55fa40023d61e75380db0f6700baa60	5663	/home/user/canon-corpus-src/investors-canon/chapters/ch-24-reading-financial-statements.html
ch-25-balance-sheet	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-25-balance-sheet.html	6198afd621c25000407be11128e310eef50d93d6ef03b6a336ac31b671e86a8a	cfe3e57b83e85f9ee8b7574af412d4cbaa8d3f0331640816ba1cddbc61703393	5760	/home/user/canon-corpus-src/investors-canon/chapters/ch-25-balance-sheet.html
ch-26-income-statement	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-26-income-statement.html	3b501ab63b4d42d03e7edd2792b92927e0ae1e430b236d08b122d33c89a25533	2dfba690d948a4a103150f8fe479c94a60b63f20d0ec3a1ac7ea34ab2de88e24	5905	/home/user/canon-corpus-src/investors-canon/chapters/ch-26-income-statement.html
ch-27-cash-flow-statement	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-27-cash-flow-statement.html	6375763ae6ad06fcb75a2b2f6f5f69e71030a38a2a19525b33c913a1736437d3	359d9727de06c9fa03ef92acecf6eb05c84bcdbd862d5bf87a05736e4a4eb1b1	6293	/home/user/canon-corpus-src/investors-canon/chapters/ch-27-cash-flow-statement.html
ch-28-red-flags	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-28-red-flags.html	606e89bf465a184570e9cf86da8f3863768e1316da60778916d8701029bc53f7	2f2ec1e0834a62d7db8373d8478a7572a3fb367cb6cba266477c015d36ae2fb6	6389	/home/user/canon-corpus-src/investors-canon/chapters/ch-28-red-flags.html
ch-29-banking-accounting	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-29-banking-accounting.html	e290107a5681cdb0023216d6de1b5a6aff86f942f70f0eac2faf97795dc460ba	6a541fa85711a78f7e8962e471089fc02a9f5f069e34d0a7c3a4d0e20a9ce00b	4561	/home/user/canon-corpus-src/investors-canon/chapters/ch-29-banking-accounting.html
ch-30-development-bank-finance	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-30-development-bank-finance.html	cf0421c5dec87ebfa969e7231dda1706bd64e50073da90dcc1e3de639b92ed0d	1aae9d6dabd4f9ce843c2f1730b1f76c3f0861cf0631a931bddb1f39603dfa40	5291	/home/user/canon-corpus-src/investors-canon/chapters/ch-30-development-bank-finance.html
ch-31-microfinance-accounting	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-31-microfinance-accounting.html	7a5b5aae345b998237968798691b8a2a6cd5a13e5aceff70ad92dd07b0f74034	ef612a204f8359779407dd2d72fe886b060f9a189f5fa52778f43c69cb40434a	4926	/home/user/canon-corpus-src/investors-canon/chapters/ch-31-microfinance-accounting.html
ch-32-hydropower-accounting	https://santoshkumaradhikari.com.np/investors-canon/chapters/ch-32-hydropower-accounting.html	dc961cd27a61e27bdd697789b9f2fb8d95258b91eeeb0322d5e72ccd1f2d9033	d3aa7ec0e087ee09f01c71fb2b12f1be74f887c42bda0836fae77e57adf661b1	5954	/home/user/canon-corpus-src/investors-canon/chapters/ch-32-hydropower-accounting.html
